| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФП     | 1054.3   | 1      | "8,1111.0,0,1; 6,1124.8,10,11"                                         | "7,1054.3,6,7"                                                         |
| ФКТ    | 1124.8   | 1      | "8,1111.0,0,1; 6,1124.8,10,11; 7,1227.1,7,8"                           | ""                                                                     |
| ФКТ    | 1124.8   | 1      | "6,1124.8,10,11; 7,1227.1,7,8"                                         | "8,1111.0,0,1"                                                         |
| ФП     | 1124.8   | 1      | "7,1227.1,7,8"                                                         | "8,1111.0,0,1; 6,1124.8,10,11"                                         |
| ФП     | 1124.8   | 1      | "7,1227.1,7,8"                                                         | "8,1111.0,1,2; 6,1124.8,10,11"                                         |
| ФП     | 1124.8   | 1      | "7,1227.1,7,8; 9,1250.7,0,1"                                           | "8,1111.0,2,3; 6,1124.8,10,11"                                         |
| ФП     | 1124.8   | 1      | "7,1227.1,7,8; 9,1250.7,0,1"                                           | "8,1111.0,3,4; 6,1124.8,10,11"                                         |
| ФП     | 1124.8   | 1      | "7,1227.1,7,8; 9,1250.7,0,1; 8,1304.2,4,5"                             | "6,1124.8,10,11"                                                       |
| ФП     | 1124.8   | 1      | "7,1227.1,7,8; 9,1250.7,0,1; 8,1304.2,4,5"                             | "6,1124.8,11,11"                                                       |
| ФКТ    | 1304.2   | 1      | "7,1227.1,7,8; 9,1250.7,0,1; 8,1304.2,4,5"                             | ""                                                                     |
| ФКТ    | 1304.2   | 1      | "9,1250.7,0,1; 8,1304.2,4,5"                                           | "7,1227.1,7,8"                                                         |
| ФКТ    | 1304.2   | 1      | "8,1304.2,4,5"                                                         | "7,1227.1,7,8; 9,1250.7,0,1"                                           |
| ФП     | 1304.2   | 1      | ""                                                                     | "7,1227.1,7,8; 9,1250.7,0,1; 8,1304.2,4,5"                             |
| ФП     | 1304.2   | 0      | ""                                                                     | "7,1227.1,8,9; 9,1250.7,0,1; 8,1304.2,4,5"                             |
| ФП     | 1304.2   | 0      | ""                                                                     | "7,1227.1,9,10; 9,1250.7,0,1; 8,1304.2,4,5"                            |
| ФП     | 1304.2   | 0      | "7,1403.0,10,11"                                                       | "9,1250.7,0,1; 8,1304.2,4,5"                                           |
| ФП     | 1304.2   | 0      | "7,1403.0,10,11"                                                       | "9,1250.7,1,2; 8,1304.2,4,5"                                           |
| ФП     | 1304.2   | 0      | "7,1403.0,10,11; 10,1429.9,0,1"                                        | "9,1250.7,2,3; 8,1304.2,4,5"                                           |
| ФП     | 1304.2   | 0      | "7,1403.0,10,11; 10,1429.9,0,1"                                        | "9,1250.7,3,4; 8,1304.2,4,5"                                           |
| ФП     | 1304.2   | 0      | "9,1250.7,3,4; 7,1403.0,10,11; 10,1429.9,0,1"                          | "8,1304.2,4,5"                                                         |
| ФП     | 1304.2   | 0      | "9,1250.7,3,4; 7,1403.0,10,11; 10,1429.9,0,1"                          | "8,1304.2,5,6"                                                         |
| ФП     | 1304.2   | 1      | "9,1250.7,3,4; 7,1403.0,10,11; 10,1429.9,0,1"                          | "8,1304.2,6,7"                                                         |
| ФКТ    | 1403.0   | 1      | "9,1250.7,3,4; 7,1403.0,10,11; 10,1429.9,0,1; 8,1499.0,7,8"            | ""                                                                     |
| ФКТ    | 1403.0   | 1      | "7,1403.0,10,11; 10,1429.9,0,1; 8,1499.0,7,8"                          | "9,1250.7,3,4"                                                         |
| ФП     | 1403.0   | 1      | "10,1429.9,0,1; 8,1499.0,7,8"                                          | "9,1250.7,3,4; 7,1403.0,10,11"                                         |
| ФП     | 1403.0   | 1      | "9,1402.0,4,5; 10,1429.9,0,1; 8,1499.0,7,8"                            | "7,1403.0,10,11"                                                       |
| ФП     | 1403.0   | 1      | "9,1402.0,4,5; 10,1429.9,0,1; 8,1499.0,7,8"                            | "7,1403.0,11,11"                                                       |
| ФКТ    | 1402.0   | 1      | "9,1402.0,4,5; 10,1429.9,0,1; 8,1499.0,7,8"                            | ""                                                                     |
| ФП     | 1402.0   | 1      | "10,1429.9,0,1; 8,1499.0,7,8"                                          | "9,1402.0,4,5"                                                         |
| ФП     | 1402.0   | 1      | "10,1429.9,0,1; 8,1499.0,7,8"                                          | "9,1402.0,5,6"                                                         |
| ФП     | 1402.0   | 2      | "10,1429.9,0,1; 8,1499.0,7,8"                                          | "9,1402.0,6,7"                                                         |
| ФКТ    | 1429.9   | 2      | "10,1429.9,0,1; 8,1499.0,7,8; 9,1590.0,7,8"                            | ""                                                                     |
| ФП     | 1429.9   | 2      | "8,1499.0,7,8; 9,1590.0,7,8"                                           | "10,1429.9,0,1"                                                        |
| ФП     | 1429.9   | 2      | "8,1499.0,7,8; 9,1590.0,7,8"                                           | "10,1429.9,1,2"                                                        |
| ФП     | 1429.9   | 2      | "8,1499.0,7,8; 11,1535.2,0,1; 9,1590.0,7,8"                            | "10,1429.9,2,3"                                                        |
| ФП     | 1429.9   | 2      | "8,1499.0,7,8; 11,1535.2,0,1; 9,1590.0,7,8"                            | "10,1429.9,3,4"                                                        |
| ФКТ    | 1506.8   | 2      | "8,1499.0,7,8; 10,1506.8,4,5; 11,1535.2,0,1; 9,1590.0,7,8"             | ""                                                                     |
| ФКТ    | 1506.8   | 2      | "10,1506.8,4,5; 11,1535.2,0,1; 9,1590.0,7,8"                           | "8,1499.0,7,8"                                                         |
| ФП     | 1506.8   | 2      | "11,1535.2,0,1; 9,1590.0,7,8"                                          | "8,1499.0,7,8; 10,1506.8,4,5"                                          |
| ФП     | 1506.8   | 1      | "11,1535.2,0,1; 9,1590.0,7,8"                                          | "8,1499.0,8,9; 10,1506.8,4,5"                                          |
